역코드(STN_CD),역명(STN_NM),역약어명(STN_AVVR_NM)
3900553,거촌,거촌
3900554,봉성,봉성
3900555,법전,법전
3900556,춘양,춘양
3900557,녹동,녹동
3900558,임기,임기
3900559,현동,현동
3900560,분천,분천
3900561,양원,양원
3900562,승부,승부
3900563,석포,석포
3900564,동점,동점
3900565,철암,철암
3900566,백산,백산
3900567,동백산,동백산
3900568,통리,통리
3900569,심포리,심포리
3900570,흥전,흥전
3900571,나한정,나한정
3900572,도계,도계
3900573,고사리,고사리
3900574,하고사리,하고사
3900575,마차리,마차리
3900576,신기,신기
3900577,상정,상정
3900578,미로,미로
3900579,도경리,도경리
3900580,동해,동해
3900581,묵호,묵호
3900582,망상,망상
3900583,망상해,망상해
3900584,옥계,옥계
3900585,정동진,정동진
3900586,안인,안인
3900587,강릉,강릉
3900588,별어곡,별어곡
3900589,선평,선평
3900590,정선,정선
3900591,나전,나전
3900592,아우라지,아우라
3900593,구절리,구절리
3900594,함백,함백
3900595,추암,추암
3900596,삼척해변,삼척해
3900597,삼척,삼척
3900598,장락,장락
3900599,송학,송학
3900600,입석리,입석리
3900601,쌍용,쌍용
3900601,쌍룡,쌍룡
3900602,연당,연당
3900603,청령포,청령포
3900604,영월,영월
3900605,탄부,탄부
3900606,연하,연하
3900607,석항,석항
3900608,예미,예미
3900609,조동,조동
3900610,자미원,자미원
3900611,증산,증산
3900611,민둥산,민둥산
3900612,사북,사북
3900613,고한,고한
3900614,추전,추전
3900615,태백,태백
3900616,문곡,문곡
3900617,동백산분기,동백분
3900617,동백산분기,동백산
3900617,태백선분기,태백분
3900618,묵호항,묵호항
3900619,삼화,삼화
3900620,범일,범일
3900621,부전,부전
3900622,거제,거제
3900622,거제해맞이,거제해
3900623,남문구,남문구
3900623,거제,거제
3900624,동래,동래
3900625,안락,안락
3900626,재송,재송
3900627,수영,수영
3900627,센텀,센텀
3900628,우일,우일
3900628,벡스코,벡스코
3900629,해운대,해운대
3900629,신해운대,신해운
3900630,송정,송정
3900631,기장,기장
3900632,일광,일광
3900633,좌천,좌천
3900634,월내,월내
3900635,서생,서생
3900636,남창,남창
3900637,덕하,덕하
3900638,선암,선암
3900638,개운포,개운포
3900639,울산,울산
3900639,태화강,태화강
3900640,효문,효문
3900641,호계,호계
3900642,모화,모화
3900643,입실,입실
3900643,외동,외동
3900644,죽동,죽동
3900645,불국사,불국사
3900646,동방,동방
3900647,경주,경주
3900647,구_경주,구_경주
3900648,나원,나원
3900649,청령,청령
3900650,사방,사방
3900651,안강,안강
3900651,구안강,구안강
3900652,양자동,양자동
3900653,부조,부조
3900653,구부조,구부조
3900654,효자,효자
3900655,양학동,양학동
3900656,포항,포항
3900656,구포항,구포항
3900657,온산,온산
3900658,장생포,장생포
3900659,울산항,울산항
3900660,괴동,괴동
3900661,제철,제철
3900662,신창원,신창원
3900663,남창원,남창원
3900664,성주사,성주사
3900665,경화,경화
3900666,진해,진해
3900667,통해,통해
3900668,동촌,동촌
3900669,반야월,반야월
3900670,금강,금강
3900671,청천,청천
3900672,하양,하양
3900673,금호,금호
3900674,봉정,봉정
3900674,봉정_폐지,폐지
3900675,북영천분기,북천분
3900675,북영천분기,북영천
3900675,북영천분기,북영분
3900676,주례,주례
3900677,가야,가야
3900678,양산화물,양산화
3900679,우암,우암
3900680,신선대,신선대
3900681,낙동강,낙동강
3900682,한림정,한림정
3900683,진영,진영
3900684,덕산,덕산
3900685,창원,창원
3900686,마산,마산
3900687,중리,중리
3900688,산인,산인
3900689,함안,함안
3900690,군북,군북
3900691,원북,원북
3900692,평촌,평촌
3900693,진주수목원,진주수
3900694,반성,반성
3900695,진성,진성
3900696,갈촌,갈촌
3900697,남문산,남문산
3900698,개양,개양
3900699,진주,진주
3900700,유수,유수
3900701,완사,완사
3900702,다솔사,다솔사
3900703,북천,북천
3900704,양보,양보
3900705,횡천,횡천
3900706,하동,하동
3900707,진상,진상
3900708,옥곡,옥곡
3900709,골약,골약
3900710,광양,광양
3900711,평화,평화
3900712,원창,원창
3900713,구룡,구룡
3900714,벌교,벌교
3900715,조성,조성
3900716,예당,예당
3900717,득량,득량
3900718,보성,보성
3900719,광곡,광곡
3900720,명봉,명봉
3900721,도림,도림
3900722,이양,이양
3900723,입교,입교
3900724,석정리,석정리
3900725,능주,능주
3900726,만수,만수
3900727,화순,화순
3900728,앵남,앵남
3900729,남평,남평
3900730,효천,효천
3900731,서광주,서광주
3900732,남광주,남광주
3900733,동송정신호,동송정
3900734,광주선분기,광주분
3900734,광주선분기,광주선
3900735,북송정분기,북송분
3900735,북송정분기,북송정
3900736,지하서울,지하서
3900737,시청,시청
3900738,종각,종각
3900739,1종로3가,1종로
3900740,종로5가,종로5
3900741,1동대,1동대
3900742,동묘,동묘
3900742,동묘앞,동묘앞
3900743,신설동,신설동
3900744,제기동,제기동
3900745,1지청량리,1지청
3900746,지하청량리,지하청
3900746,4하청량리,4하청
3900747,2신설,2신설
3900748,신답,신답
3900749,용답,용답
3900750,성수,성수
3900751,건대입구,건대입
3900752,구의,구의
3900753,강변,강변
3900754,성내,성내
3900754,잠실나루,잠실나
3900755,잠실,잠실
3900756,신천,신천
3900757,종합운동장,종합운
3900758,2삼성,2삼성
3900759,2선릉,2선릉
3900760,역삼,역삼
3900761,강남,강남
3900762,2교대,2교대
3900763,서초,서초
3900764,방배,방배
3900765,2사당,2사당
3900766,낙성대,낙성대
3900767,서울대,서울대
3900768,2봉천,2봉천
3900769,2신림,2신림
3900770,신대방,신대방
3900771,구로공단,구로공
3900772,대림,대림
3900773,2신도림,2신도
3900774,문래,문래
3900775,2영등포구,2영등
3900776,당산,당산
3900777,합정,합정
3900778,홍대입구,홍대입
3900778,2홍대입구,2홍대
3900779,2신촌,2신촌
3900780,이대,이대
3900781,아현동,아현동
3900782,충정로,충정로
3900783,2시청,2시청
3900784,을지입구,을지입
3900785,2을지로3,2을지
